# MEAN_SAMPLE_SIZE = 42038
# TOTAL_GENES = 18669
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_chemo...          SET     179    0.0090513   0.00088205     0.067069      0.44632 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      76     0.010665   0.00067912      0.10299      0.45876 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     248    -0.032652   -0.0037384     0.060616      0.70494 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     120     0.044279    0.0035387     0.078091      0.28535 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     105      0.10616    0.0079393     0.085563      0.10736 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67     -0.10662   -0.0063762      0.11456        0.824 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     123    0.0064762   0.00052395     0.077322      0.46663 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36     0.034958    0.0015337      0.14304      0.40347 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      30      0.19673      0.00788      0.18132      0.13897 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     116     0.052979    0.0041632     0.076778      0.24509 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     177     0.055377    0.0053666     0.066104       0.2011 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76     -0.16719    -0.010646      0.09447      0.96161 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      49       0.2107      0.01078      0.13469     0.058887 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      81    -0.083743   -0.0055042     0.096919      0.80621 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      69     -0.10029   -0.0060861      0.10214      0.83692 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     112     0.048859    0.0037731     0.087554      0.28841 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     145     0.059121    0.0051902     0.074373      0.21334 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      24   0.00060639   2.1728e-05      0.18723      0.49871 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      47      0.12625     0.006327      0.12661      0.15935 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      54    -0.019955   -0.0010717      0.12793      0.56198 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      84    -0.087456   -0.0058533      0.10363      0.80065 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     122     0.038838    0.0031294     0.085672      0.32516 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77    -0.056914   -0.0036477      0.10259      0.71048 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     192     0.079929    0.0080642     0.065892      0.11257 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      82    -0.059483   -0.0039337     0.099758       0.7245 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     122     -0.19074     -0.01537     0.084363      0.98811 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      71      0.23444     0.014431      0.11732     0.022846 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     128     0.012298    0.0010149     0.081969      0.44037 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      84     0.042312    0.0028319      0.10393      0.34196 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      67     0.025349    0.0015159      0.11749       0.4146 Curated_gene_sets:kegg_complement_and_coagulation_cascades
