# MEAN_SAMPLE_SIZE = 24564
# TOTAL_GENES = 17778
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_intes...          SET      41      0.10513    0.0050432      0.14579      0.23542 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13      0.14279    0.0038598      0.25909      0.29079 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      60     0.070004    0.0040601      0.12388        0.286 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     115     -0.17194    -0.013785      0.08566      0.97763 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      63     -0.11903   -0.0070736      0.12137      0.83663 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     363     0.014312    0.0020241     0.066235      0.41447 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      48    -0.037605   -0.0019514      0.15143      0.59806 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     191     -0.11453    -0.011808     0.068729      0.95217 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     122    -0.055456   -0.0045783     0.083837      0.74584 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      88     -0.21895    -0.015367      0.10066      0.98518 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      78     0.086768    0.0057349     0.098102      0.18823 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      90     0.060023      0.00426     0.098234       0.2706 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      59     -0.12881   -0.0074082      0.11913      0.86019 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      45     -0.17947   -0.0090181      0.15149      0.88192 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      38      0.09986     0.004612      0.15419      0.25861 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      20      0.29645     0.009938      0.20938     0.078414 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      40     -0.10457   -0.0049548      0.15292      0.75296 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      40     0.069987    0.0033161       0.1279      0.29212 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      20      0.16713    0.0056025      0.19682      0.19791 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     143    -0.026056   -0.0023275     0.074749      0.63629 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     104     0.009181   0.00070017     0.082538      0.45572 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      50     0.099688    0.0052794       0.1285      0.21894 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     159   0.00016471   1.5507e-05     0.068387      0.49904 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      32      0.22653    0.0096022      0.16965     0.090912 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      49     0.055674    0.0029189      0.13843      0.34378 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      61    -0.080494   -0.0047071      0.11626      0.75564 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      51      0.12818    0.0068558      0.13403      0.16945 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      66     0.053714    0.0032668      0.11451       0.3195 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     292    -0.072179   -0.0091744      0.05684      0.89793 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      60     -0.14207   -0.0082398      0.13144      0.86011 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      66    -0.020492   -0.0012463      0.11478      0.57084 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      63    -0.085395   -0.0050746      0.12141      0.75908 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      48     -0.11927   -0.0061891      0.13383      0.81357 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      59     -0.14288   -0.0082176      0.12515       0.8732 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      81     -0.14901    -0.010035      0.10337      0.92528 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      25      -0.2107   -0.0078959      0.18119      0.87755 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      50     0.028458    0.0015071      0.13033      0.41358 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      66      -0.1275   -0.0077545      0.12089      0.85421 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      38     -0.13519   -0.0062436      0.14815      0.81925 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      68      -0.3428    -0.021161      0.11465       0.9986 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      53      -0.3403    -0.018553      0.13041      0.99546 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      76    -0.053181   -0.0034698      0.11276      0.68141 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      51     -0.28934    -0.015475      0.12912      0.98748 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      26      0.18829    0.0071956      0.18468      0.15398 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      46      0.23037     0.011703      0.15029      0.06267 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET     112      0.30019     0.023752      0.10278    0.0017487 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      31      0.26911     0.011228      0.17563     0.062739 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      35      0.36762     0.016296        0.167     0.013863 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      28     -0.14052   -0.0055723      0.18053      0.78181 Curated_gene_sets:kegg_primary_immunodeficiency
